Produto,SMAPE,SEM
550,"37,24%","0,3103"
3124,"39,94%","0,2626"
4022,"40,77%","2,3538"
10146,"34,92%","5,5469"
11686,"149,68%","15,5073"
16766,"21,73%","0,7312"
20213,"49,45%","1,5369"
21869,"97,0%","26,2764"
37082,"31,94%","0,4339"
44516,"34,37%","0,2844"
46756,"34,08%","1,1499"
47289,"24,69%","1,7799"
47319,"44,79%","2,2118"
52740,"25,14%","0,4469"
52849,"30,27%","0,789"
53419,"37,34%","0,9455"
96560,"29,75%","0,4609"
103893,"72,46%","2,3352"
410861,"80,65%","12,0535"
1001587,"83,12%","7,5954"
